Serotype,Vaccine_Status,Cases,Total_Cases
14,>=1 dose,7,2083
14,Unvaccinated,69,1211
19F,>=1 dose,26,2083
19F,Unvaccinated,44,1211
6B,>=1 dose,18,2083
6B,Unvaccinated,38,1211
18C,>=1 dose,2,2083
18C,Unvaccinated,53,1211
4,>=1 dose,6,2083
4,Unvaccinated,29,1211
23F,>=1 dose,5,2083
23F,Unvaccinated,30,1211
9V,>=1 dose,1,2083
9V,Unvaccinated,25,1211
19A,>=1 dose,77,2083
19A,Unvaccinated,24,1211
6A,>=1 dose,23,2083
6A,Unvaccinated,23,1211
9N,>=1 dose,2,2083
9N,Unvaccinated,2,1211
23B,>=1 dose,2,2083
23B,Unvaccinated,0,1211
18B,>=1 dose,1,2083
18B,Unvaccinated,1,1211
18F,>=1 dose,2,2083
18F,Unvaccinated,0,1211
23A,>=1 dose,1,2083
23A,Unvaccinated,0,1211
33F,>=1 dose,31,2083
33F,Unvaccinated,4,1211
3,>=1 dose,23,2083
3,Unvaccinated,12,1211
22F,>=1 dose,30,2083
22F,Unvaccinated,3,1211
7F,>=1 dose,27,2083
7F,Unvaccinated,5,1211
15C,>=1 dose,26,2083
15C,Unvaccinated,5,1211
12F,>=1 dose,18,2083
12F,Unvaccinated,5,1211
38,>=1 dose,17,2083
38,Unvaccinated,7,1211
15B,>=1 dose,14,2083
15B,Unvaccinated,2,1211
10A,>=1 dose,5,2083
10A,Unvaccinated,0,1211
35B,>=1 dose,5,2083
35B,Unvaccinated,1,1211
1,>=1 dose,3,2083
1,Unvaccinated,2,1211
11A,>=1 dose,5,2083
11A,Unvaccinated,0,1211
35F,>=1 dose,2,2083
35F,Unvaccinated,2,1211
7C,>=1 dose,2,2083
7C,Unvaccinated,0,1211
8,>=1 dose,2,2083
8,Unvaccinated,0,1211
17F,>=1 dose,2,2083
17F,Unvaccinated,0,1211
NT,>=1 dose,1,2083
NT,Unvaccinated,2,1211
15A,>=1 dose,1,2083
15A,Unvaccinated,0,1211
20,>=1 dose,1,2083
20,Unvaccinated,0,1211
33A,>=1 dose,1,2083
33A,Unvaccinated,0,1211
34,>=1 dose,1,2083
34,Unvaccinated,0,1211
