"contrast","serotype","diff_mean","diff_median","diff_lo","diff_hi","p_gt_0","p_lt_0"
"navajo_andrews - navajo","4",-0.265492278939706,-0.264582306516682,-0.569030532682245,0.0328615881654266,0.0385,0.9615
"navajo_andrews - navajo","6B",-0.197346140382154,-0.19939160924532,-0.441473408730446,0.0604702785314526,0.0645,0.9355
"navajo_andrews - navajo","9V",0.289884669642598,0.263171533034635,-0.228208253138457,0.950625707702981,0.848333333333333,0.151666666666667
"navajo_andrews - navajo","14",-0.181524768225309,-0.182375793065386,-0.389253690724511,0.0308970302545042,0.0464166666666667,0.953583333333333
"navajo_andrews - navajo","18C",0.250019142165361,0.234726966954204,-0.123132740855422,0.700357103004467,0.902166666666667,0.0978333333333333
"navajo_andrews - navajo","19F",-0.321346953654279,-0.314000648520675,-0.673058459067063,-0.00805383455874135,0.0228333333333333,0.977166666666667
"navajo_andrews - navajo","23F",-0.0158421573302071,-0.0192214291176375,-0.342387201220134,0.340123047700131,0.453916666666667,0.546083333333333
"navajo_vdl_pcv7 - navajo","4",-0.161115665018246,-0.108894656455967,-0.969177054842963,0.295703845780984,0.303416666666667,0.696583333333333
"navajo_vdl_pcv7 - navajo","6B",-0.22391976651408,-0.201886753320228,-0.681990632742541,0.117930954040363,0.11275,0.88725
"navajo_vdl_pcv7 - navajo","9V",0.394257561396919,0.419075046195305,-0.558220265556527,1.14985323629083,0.857333333333333,0.142666666666667
"navajo_vdl_pcv7 - navajo","14",0.0291713429982572,0.0349506665516154,-0.299416663092222,0.322813465311482,0.594833333333333,0.405166666666667
"navajo_vdl_pcv7 - navajo","18C",0.574912790187389,0.563286027510246,0.127049931000931,1.09082240165312,0.995166666666667,0.00483333333333333
"navajo_vdl_pcv7 - navajo","19F",-0.0209464037686941,-0.0176255920170388,-0.447719000963533,0.382032761781229,0.464083333333333,0.535916666666667
"navajo_vdl_pcv7 - navajo","23F",0.241931142308969,0.238937863264872,-0.170304626207281,0.66892378037655,0.877916666666667,0.122083333333333
